Subject ID, avg(turns for ref), avg(turns for near), avg(turns for far), avg(turns)
3765,128.0,82.333,106.0,110.357
3773,168.2,149.6,432.667,261.562
3798,253.333,516.2,101.6,288.062
3805,373.5,68.5,133.0,177.0
3809,370.0,85.167,87.8,186.471
3818,160.0,503.2,108.667,277.333
3822,218.0,285.333,108.333,203.889
3823,115.333,362.8,115.8,192.812
3829,190.0,184.167,165.667,179.944
3834,302.833,82.8,308.0,239.941
3835,217.8,211.333,236.5,222.118
3839,114.667,214.667,113.5,147.611
3848,193.667,134.833,128.333,152.278
3859,51.0,96.0,177.667,119.667
3864,121.8,111.0,121.4,118.571
3867,191.2,123.0,135.0,148.062
3868,280.5,145.5,129.0,185.0
3870,120.333,134.167,127.0,127.167
3871,72.4,67.333,161.4,98.312
3872,104.167,109.167,308.667,174.0
3881,170.0,127.5,124.0,140.5
3883,93.333,98.833,110.333,100.833
3884,280.167,118.167,145.5,181.278
3894,128.0,215.0,477.8,261.588
3898,205.2,121.0,226.167,182.882
3899,148.5,156.833,116.25,143.562
3918,93.167,224.0,165.167,160.778
3920,96.167,130.0,176.333,134.167
3927,255.833,163.0,159.0,192.611
3930,139.167,113.167,122.0,124.778
3934,101.6,530.667,346.5,339.471
3936,133.167,205.667,115.2,153.471
3939,128.833,188.167,205.167,174.056
3941,119.8,92.667,184.833,133.176
3944,245.833,109.167,138.667,164.556
3947,44.5,342.8,175.2,223.25
3950,101.167,127.5,118.833,115.833
3952,145.667,174.5,173.5,164.556
3954,206.333,86.833,263.2,180.882
3991,137.833,94.667,186.333,139.611
3998,228.5,181.167,101.667,170.444
3999,289.333,220.5,339.2,279.706
