Subject ID, #(near with fixate before locomotion),                 #(far with fixate before locomotion), #(completed near), #(completed far)
3765,0,0,3,6
3773,4,4,6,6
3798,0,2,5,5
3805,1,2,6,6
3809,3,4,6,5
3818,1,3,5,6
3822,3,3,6,6
3823,2,5,6,6
3829,3,4,6,6
3834,3,2,5,6
3835,5,6,6,6
3839,2,2,6,6
3848,1,1,6,6
3859,4,5,6,6
3864,3,2,5,6
3867,5,5,6,5
3868,2,4,6,6
3870,2,3,6,6
3871,1,2,6,6
3872,5,6,6,6
3881,6,6,6,6
3883,1,2,6,6
3884,3,5,6,6
3894,6,4,6,6
3898,2,1,6,6
3899,1,3,6,5
3918,3,2,6,6
3920,5,4,6,6
3927,2,5,6,6
3930,4,2,6,6
3934,1,2,6,6
3936,4,4,6,6
3939,0,2,6,6
3941,4,5,6,6
3944,3,4,6,6
3947,1,0,6,6
3950,1,3,6,6
3952,2,1,6,6
3954,1,1,6,6
3991,4,6,6,6
3998,2,3,6,6
3999,0,0,6,5
